label,text
joy,"During the period of falling in love, each time that we met and à especially when we had not met for a long time."
fear,When I was involved in a traffic accident.
anger,"When I was driving home after  several days of hard work, there à was a motorist ahead of me who was driving at 50 km/hour and à refused, despite his low speeed to let me overtake."
sadness,When I lost the person who meant the most to me. 
disgust,"The time I knocked a deer down - the sight of the animal's à injuries and helplessness.  The realization that the animal was à so badly hurt that it had to be put down, and when the animal à screamed at the moment of death."
shame,When I did not speak the truth.
guilt,When I caused problems for somebody because he could not keep the à appointed time and this led to various consequences.
joy,When I got a letter offering me the Summer job that I had applied à for.  
fear,When I was going home alone one night in Paris and a man came up à behind me and asked me if I was not afraid to be out alone so à late at night.
anger,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.
sadness,When my friends did not ask me to go to a New Year's party à with them.
disgust,When I saw all the very drunk kids (13-14 years old) in town on à Walpurgis night.
shame,When I could not remember what to say about a presentation task à at an accounts meeting.
guilt,When my uncle and my neighbour came home under police escort.
joy,[ On days when I feel close to my partner and other friends.  à When I feel at peace with myself and also experience a close à contact with people whom I regard greatly.]
fear,"Every time I imagine that someone I love or I could contact a à serious illness, even death."
anger,When I had been obviously unjustly treated and had no possibility à of elucidating this.
sadness,When I think about the short time that we live and relate it to à the periods of my life when I think that I did not use this à short time.
disgust,At a gathering I found myself involuntarily sitting next to two à people who expressed opinions that I considered very low and à discriminating.
shame,When I realized that I was directing the feelings of discontent à with myself at my partner and this way was trying to put the blame à on him instead of sorting out my own feeliings.
guilt,I feel guilty when when I realize that I consider material things à more important than caring for my relatives.  I feel very à self-centered.
joy,After my girlfriend had taken her exam we went to her parent's à place.
fear,"When, for the first time I realized the meaning of death."
anger,When a car is overtaking another and I am forced to drive off the à road.
sadness,"When I recently thought about the hard work it takes to study, and  à how one wants to try something else.  When I read a theoretical à book in English that I did not understand."
disgust,When I found a bristle in the liver paste tube.
shame,"When I was tired and unmotivated, I shouted at my girlfriend and à and brought up negative sides of her character which are actually à not so important."
guilt,When I think that I do not study enough.  After the weekend I à think that I should have been able to have accomplished à something during that time.
joy,When I pass an examination which I did not think I did well.
fear,"When one has arranged to meet someone and that person arrives à late, in the meantime one starts thinking about all that could à have gone wrong e.g a traffic accident."
anger,When one is unjustly accused of something one has not done.
sadness,When one's studies seem hopelessly difficult and uninteresting.  
disgust,"When one finds out that someone you know is not at all like one à had thought, for instance friends who steal and things like that, à quite unwarranted."
shame,"When one has been unjust, stupid towards someone else. "
guilt,When one has neglected or been unjust to a good friend.
joy,Passing an exam I did not expect to pass.
fear,When I climbed up a tree to pick apples.  The angle of the ladder à I was on did not enable me to get high enough.  This implied à that the ladder was not very stable.
anger,Friends who torture animals.
sadness,[ Same as in anger.]
disgust,Friends who torture animals.
shame,[ Same as above - friends who torture animals.]
guilt,[ When excuses are necessary and I get out of doing it myself.]
joy,When I had my children.
fear,When my 2 year old son climbed up and sat on the 7th floor à balcony with his legs hanging out.  He was holding on tightly to à the upper railing of the balcony but he could have easily lost à his balance when he sat down.
anger,When my partner was attacked and lost three teeth.
sadness,When I see children on T.V from areas devastated by drought and à war.
disgust,When I nearly walked on a blindworm and then saw it crawl away.
shame,When I saw my 18 year old son grab an oxygen mask as he had à breathing difficulties.  I had a bad conscience because I had not à stopped smoking.  Medication for the dilation of his breathing à tubes also caused a sense of guilt in me.
guilt,"I experience a sense of guilt as my middle son cannot express à himself like other children, neither verbally nor in writing."
joy,When my child was born.
fear,"It was winter/spring and the ice was melting.  I was far out on a à jetty and I poked the ice with a long branch to try and break it. à  The branch went through the ice and I fell in, the water closed à in over my head."
anger,"Unjust accusations directed at me and my way of acting, by à someone close to me.  "
sadness,Failing an examination.
disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that à turned into sadness-unpleasantness."
shame,"When, as an adult I have been caught lying or behaving badly."
guilt,"When I am in an environment or with a person much worse off than à me, I realize how privileged I am."
joy,When I saw a person I had not seen for a long time.
fear,"When, as a child, I was nearly knocked down by a car."
anger,"When I heard on the radio that the football match in Belgium had à ended in a catastrophe, and several people had died.  I could not à  understand how normal people could behave in such a way."
sadness,"When I feel lonely, perhaps because I have to study a lot and I à am shut up in my appartment.  Nothing happens in particular à because there is no time for anything else."
disgust,When one learns through the mass media all the wars and killing à going on in the world.
shame,"I lied, to be precise I cancelled a meeting with a good friend."
guilt,When one lets friends down
joy,When I was accepted for a course on finance and accounting.
fear,"A bus drove over my right leg.  The event itself was not very à frightening but when I had to wait in the emergency ward for à three hours and then my leg began to swell, I was frightened."
anger,"At my Summer job, nobody looked after me in particular and I had à to learn all on my own."
sadness,When I was not accepted as a student in finance and accounting.
disgust,When I had just moved into my new appartment I found a ventilator à in the kitchen.  I was going to clean it when I found that the à drum was full of mud and slime.  I felt disgusted.
shame,My elder brother and I have not always had a good relationship à and I feel ashamed of myself as I do not call him to talk to him à nowadays.
guilt,At my Summer job a new caretaker had been employed who was my age à  but I preferred going out for lunch with the accounts personnel à rather than with him.
joy,Passed an exam by 2 points.
fear,"In a cottage in a large forest, I was alone for a while in the à dark."
anger,When I spoke to Jan-Erik Wikstr…m on the telephone. 
sadness,Railway station good-bye.
disgust,I saw a cripple in rags with small children in Italy.  He was à probably an imposter.
shame,I told a friend that I was going to a party and he would not à enjoy himself if he came along.  He understood  that he would not à have fitted in and there was something in that.
guilt,I was the reason behind the break-up of my friend's relationship à with his girlfriend.  She finished with him.
joy,I passed an exam that I was absolutely certain that I had failed.
fear,"On the way back from Denmark with a friend on a small yatch, à there was a storm and my friend was blown overboard;  I was very à scared till I managed to get him back onboard."
anger,I locked myself out.
sadness,I missed the last tram home and had to walk in the pouring rain.
disgust,I found some worms in the food and I had obviously eaten some.
shame,"My friend was so intoxicated that the police came and took him à away, and they later contacted his parents."
guilt,I hapened to overhear something which I was not meant to hear.
joy,When I won a trip to Greece in a competition.
fear,When I am out in the dark and a suspicious looking character à comes towards me.
anger,"At work, when an elderly man complained unjustifiably about me and à distrusted me."
sadness,When I had not understood anything after a lecture.
disgust,When an alcoholic stood dribbling over a food counter.
shame,When my friend and I were discussing the good looks of a guy we à realized that he had been listening.
guilt,When I complained about a colleague to the manager and he told à her that someone had complained; this colleague came to me à believing that I liked her.
joy,At a friend's birthday party with some of my closest friends.  It à was all very pleasant and one could say that I was happy to have à such good friends.
fear,On the way home one Friday night in the heavy rain the car à acquaplanned.  I lost contact with the road surface for a few à seconds.
anger,Mad at my dad.
sadness,A case of unrequited love.
disgust,A bad smelling cucumber.
shame,Nearly caught masturbating.
guilt,I do not help out enough at home.
joy,I felt very happy when I won the football pools.
fear,When I flew from Athens to Copenhagen after a holiday.  The plane à was caught in a storm and it began to shake and I thouhght that à we were going to crash.
anger,When someone stole my bike.
sadness,"When I saw the list of books to read for an acccouting course, I à thought "" Oh God how will I ever manaage it!"""
disgust,It was when I read a newspaper article on the future and they à foresaw that we would be eating frog-burgers by the year 2000.  à An illustration showed a frog between two pieces of bread.
shame,When I dropped a bottle in the state liquor store and everyboby à started laughing.
guilt,"When I was young - 14, I pinched from a store and was caught.  à The store then contacted my parents."
joy,When the whole family gets together for a one week holiday.  à Everybody feels free and the trip is well planned.  It works out à well and we enjoy ourselves.
fear,"When I could not find my 2 year old daughter.  I ran and looked à for her everywhere and could not find her.  (I finally found her, à she had gone to bed to sleep)"
anger,When friends try to put me down or hurt me.  
sadness,Marriage crises.  Boredom.
disgust,When someone makes advances that one does not want.
shame,The discovery that one has only thought of oneself.
guilt,When I spanked a child in anger and later regretted it terribly.
joy,When I passed the first examination that I had to repeat.
fear,When I drove to Stockholm for the first time and drove off the à Stora Hissingen road at the wrong exit.
anger,When my boyfriend went away for a month long holiday without me.
sadness,Last year when I worked during the Summer holidays and studied à at the same time for an examination I had to repeat; my boyfriend à went to Greece for a holiday for a month.
disgust,When a dog is left whining outside a shop.
shame,When I promised to help a friend over a weekend and did not keep à the promise.
guilt,When I realized that I had three more examinations to take.
joy,The day I was told that I had been accepted as a student of à economics.
fear,"While taking a short cut through the Vasa park, I was surrounded à by three people who tried to steal my money.  I was scared and à was saved only by the appearance of other people."
anger,"At a restaurant I observed how the gypsies tried to get money by à cheating the foreigners i.e non Swedish speaking.  My anger had à nothing to do with hatred against foreigners, but it was an à expression of the anger I feel when I see people being used ."
sadness,At the begining of a new course one is afraid of encountering à problems one can not manage.  Thoughts revolve around failing à the subject and the consequences it would have for the future.
