label,text
joy,last year i passed the b a exams in psychology in which i stood first in my class thus i got the first prize from the college i was most happy to tell all this to my parents and friends
joy,"a fellow player , quite unexpectedly , scores a goal , which means a draw"
joy,i spent a lovely relaxing evening with my boyfriend we played games and talked all evening
joy,i won the country ski championship
joy,"when a study tour got confirmed , i was happy all the time till the tour began"
joy,"unofficially i was informed about my results of the final examination of the secondary school a teacher wrote them up for me when i went outside , i started crying with joy"
joy,on my birthday when several good friends came to visit me
joy,when i saw that i had passed the university entrance exam it made me forget all my problems
joy,i was emotionally happy when i was in love with the girl i had longed for
joy,when my application for studying the masters degree was accepted
joy,my boy friend told me that he would take me to the training of the life saving dogs
joy,when i had my four children
joy,being asked to go out by someone i care
joy,after 3 weeks i saw my girlfriend again
joy,"when there was a possibility of getting on better in professional life i valorized very much this aspect people showed me this possibility , not the real fact \( even because until now \)"
joy,when i was selected to study here at unza
joy,when after 10 months of national service i was downgraded and did not have to do the remaining 5 months
joy,when i was admitted to the bulgarian state conservatoire
joy,"this is one feeling i never betray , but i must confess that the last time i slighty felt happy was when i passed my m a with a high rank this was a few years ago when my friend told me about the result"
joy,during my high school time i succeeded to play a concert of mozart on the piano when i gave my first performance i succeeded to play it very well
joy,"when i stood first in the b a exams earlier i had heard of these boys and girls who were toppers , but when i first heard of me having topped i could not believe it"
joy,when i was told that i was selected to attend medical assistant training
joy,i received the message that i 'd been accepted at the school where i really wanted to go
joy,"when i went for a picnic in lonavala , i felt full of joy"
joy,"after having finished my b sc , i was struggling hard to continue my studies and had taken the m sc exam i was not sure that i would be selected in the written exam when i saw my name in the selected candidates list i was overjoyed"
joy,celebrations on the graduation day with the orchestra playing in the garden \( i am a part of this orchestra \)
joy,i felt joy when my two twin sisters were born
joy,article published
joy,my friend took me to civo stadium to watch and listen to the music of the international singer sam mangwana i had no hope of going there since i had no money so he gave me the money for admission
joy,when they told me that i had got a study grant
joy,"i had a summer job in sweden , and my boyfriend came to meet me on my birthday"
joy,"when i passed the last exam , which i had doudts about"
joy,my class winning against another class in a football match
joy,"during inter rail trip , after troubles , i met my little sister"
joy,"on my birthday , an old friend of mine sent me a card i had not met him for a year and i was very glad that he had thought of me"
joy,"i wanted to go out to walk but i did n't know either where or with whom , suddenly an invitation appeared"
joy,did well in an examn just before my father 's birthday: the best present i can give to my father
joy,going to a concert
joy,"when someone made me a compliment after an examination just at the moment i needed it it was amicable , hearty and sincere"
joy,"passing an examination , although i felt sure i had failed"
joy,winning queensland chess championship
joy,my current lover and i had been very busy with work and study and had not had time alone together for almost a month until one afternoon recently when we made love for hours and then showered and ate together
joy,i took a math midterm and i knew i did really well and it was friday so i felt great joy because the week was over and i did well on a test
joy,when i can see my parents because now i am far from them
joy,when my son returned from mountaineering healthy in body and soul
joy,when i heard that i had been selected for the university
joy,third highest grade in the class and the best answer given for one question \( the question was graded by the professor and he indicated he liked my answer \)
joy,"when i saw a friend of mine , whom i had not seen for a long time and i had lost his address and telephone number"
joy,when i found out that i can travel with my best friend
joy,"i was sitting for an exam in biochemistry , i was very excited because it was a supplementary examination i passed the exam very well and was glad because i recovered my selfconfidence"
joy,when i bought my car
joy,"when on holiday in greece i called my best friend , she told me she passed the examinations and that she had been admitted to the study for speech therapy"
joy,when my boyfriend once again told me that he loved me after a period in which he felt very depressive
joy,when my favourite football team made a goal and was about to win the cup of england
joy,"the sense of joy comes to me always after a period of depression , as an organic feeling for an upsurge i do n't exclude the situative feeling but in this case the reason is not in me , it 's out of me"
joy,"when after an overwhelming anxiety and enquiry , i understood something about why i exist and what my task in life is"
joy,it was the first time i met him \( my boyfriend mr w \) it was during the first term summer vacations we met each other while handing in our homework he invited me have a trip with him and we were together till 8 p m
joy,when i learned i was admitted to study what i wanted most floriculture \( this is a narrow specialization from the general one \)
joy,"when a friend of mine had her period , while thinking she was pregnant"
joy,having received an offer to do post graduate work
joy,when my elder sister had a baby girl she was the first girl in the family after 19 years of baby boys
joy,"after going through much shame , i became a christian and something new happened in my heart joy that overflows was manifest in me"
joy,i spoke with a friend on the phone who i have n't seen in many years it was a joyful event to talk to him
joy,when i was accepted at unza
joy,"i had been away from home for a long time and when i came home i was delighted it was wonderful to see familiar , dear people and i was rejoycing in advance i had been feeling very lonely"
joy,i bought a christmas present for my girl friend on my way home i was really glad about having found such a suitable thing
joy,"i felt joy most strongly some years ago , when i took part in a nh competition and i was the first"
joy,yesterday when i received a b on a history midterm i felt overjoyed after having received c 's previously
joy,"i was going to my village , after having been rather oppressed in madrid"
joy,after the term exams i happened to meet a person that i respect and of whom i think very highly it was nice that although we see each other rarely he had not forgotten me
joy,my first kiss
joy,"talkiing about the past happy hours with two friends at night in a camp a few months ago we shared our feelings , notions and every hidden anxiety i thought that they cared for me and i was very happy and satified"
joy,when they told me that i had been admitted to the faculty of medicine
joy,when i got first division in the exams before leaving school
joy,i got a present from a great friend \( a dog \)
joy,when i pass an exam
joy,my parents and brother came up over the weekend we are a very close family this was my first year away from home they brought one jacko lantern with a new design that is the old joke that we have a great new design it 's always the same
joy,i felt it when i received a letter telling that i had been classified in a national concourse of p i felt happy and vanity about it
joy,"when , to my surprise , i got to know about having got very good high school graduation marks"
joy,when i learnt that i had been accepted at unza
joy,"when i achieved my first 6 at university after a long string of 3 's , 4 's and 5 's \( 7 is the highest mark awarded , 3 is a conceded pass \)"
joy,the time when my sister had her first baby i was so happy and joyous because she stayed for two days after marriage before she had a child
joy,when i look at people around and know that people who are stupid look stupid
joy,when i got married
joy,"when the bank let me borrow some money this winter , after my grant was spent"
joy,when i heard that i had achieved a place in form i
joy,i had a little cat which was very sick as i liked it very much i went to a veterinary with it he told me how to tend it and it really recovered its health everybody said that i had saved its life
joy,"when i was 17 , i had a mystic vision i melted into a dazzling light , which omitted perfect love the physical experience became unimportant , i heard or saw the words overcome egotism the feeling of joy remained for month after that experience"
joy,i was studying in the library and a class mate told me that she had obtained a grant to work in the library
joy,this happened when it was finally confirmed that i had stood first in the university for the m a exams a few days before the official results were declared a clerk had brought the results unofficially so i had been expecting the results but the confirmation allowed me to legitimately feel happy at my success
joy,i was in grade 7 we had an inter house volley ball competition in luapula i was the youngest member of the team and i scored the winning goal using my head i jumped up with joy and fell down
joy,the more than satisfactory result of a recently completed university subject was communicated to me by phone
joy,passed an exam by 2 points
joy,i felt joy when i came to know christ that is when i became a christian
joy,when i learnt that i was selected for form i
joy,reunion with my wife after a legal separation
joy,i was doing an experiment and was not getting the appropriate result despite the fact that i had repeated the procedure 4 5 times then finally i got it right by a stroke of luck
joy,last year i went to see friends in yugoslavia two girls with whom i get along very well
joy,made a wonderful driend who understands me
joy,"when my uncle gave me my first year 's results i opened the envelope and my eyes ran into two b in ec110 and m160 , this meant that i had qualified for a major in economics"
joy,"when two female classmates and i were having lunch , we chatted and cracked jokes , i was very happy however , i felt that i may have said something inappropriate which might cause them to have a bad impression of me"
joy,when i was told that i had passed the exams
joy,"i have a girlfriend , who is almost like a daughter to me she is studying out of station and i get to see her only once a year her arrival is always a joyous one"
joy,i was given a gift by my sister there were many pleasant things in this parcel
joy,"i went for a walk on the beach with a friend whom i had not seen for many months the weather was very pleasant , we had some ice cream and lots of fun on the beach"
joy,"i was in hospital , and then was visited by someone quite unexpected"
joy,when a student of mine \( at music \) performed and played remarkably well
joy,i met my friend and he gave me a wonderful present as it was my birthday i enjoyed having that present
joy,talking with someone i admire a lot
joy,"to have a friend who i did n't see for months , and under the circumstances that i met him made me feel happy , and perhaps because it has been one of the good things that i learned with this friend"
joy,arriving in new zealand as a teenager first overseas trip something exhilarating about the change of scenery etc
joy,"i received an assignment back , and got an a grading"
joy,"i thought that someone was angry with me but , by hindsight , that did n't appear to be the case , he even liked me"
joy,passing a very difficult examination which i did n't expect mce
joy,i received a letter from a distant friend
joy,my cousin asked me to be a bridesmaid for her this made really happy because i was adopted into the family and her asking me made me realise that she saw me as a cousin and not just another person there were other cousins she could have asked but she asked me
joy,after my final examination at school i was glad that the examination was over and that i had passed it
joy,joy at meeting a woman i love very much
joy,when i passed the first examination that i had to repeat
joy,when i was appointed to position of trust in a group set up to change the working environment
joy,when i called my boyfriend he asked me if i would live with him
joy,when i received the acceptance form for the second year at university
joy,joy for me is when all my family gather around home for special occasions as christmas etc it really gives me joy to see my family and relatives and to observe natures productivity process which have been going on for centuries
joy,when i was at a party i met an old friend from an adult education course we had not met for 2 years but had both thought a lot about each other a wonderful experience
joy,i felt happy when my mother borrowed me the car in order to let me go out alone for the first time
joy,"i felt the greatest burst of joy when after being heavily ill for a long period , my father came back home"
joy,"winning a race that i had been training for , for many weeks \( running race \)"
joy,girlfriend arriving back from overseas and picking her up from airport when she finally appeared from customs and we came in contact again
joy,when i passed the driving test \( on the second try \)
joy,finding out my grades at the end of my freshman year
joy,earth crake
joy,i was admited to the chinese university of hong kong the day the results were announced i looked in the newspaper and saw my candidature number
joy,when i met my girlfriend again in another town after a long separation
joy,when india first won the world cup cricket tournament
joy,my old friend visited me in the university
joy,when i passed the b a exams with first class results
joy,first time i slept with my present girlfriend had been best friends for a year but had been hesitant about getting involved emotionally
joy,joining in a research group studying consumer 's behaviour and helping the people in the shop with the sales
joy,when my brother who has been out of new zealand for 10 years came to visit with his wife which none of our family had previously met
joy,"when i hooked a girl in kitwe she was very beautiful for my standards , a rare bird of this kind accepted me as a boyfriend"
joy,when my boyfriend came form rumphi to lilongwe for a visit i was very happy to see him and could n't believe it was him with me
joy,when i was accepted as supervisor for a student teacher the notification came by post
joy,the high school entrance exam
joy,got a big fish in fishing
joy,"a holiday at a whitesand deserted beach a cool evening near the end of summer and we had a fire in the sand toasted marshmellows , cuddled and drank champagne"
joy,"when i went to a job interview , i met a person who was very nice , and his attitude made me glad"
joy,i felt happy when i received the letter telling me that i had been admitted to the university
joy,"i was appreciated by others , especially my family members and my friends"
joy,i finished my homework
joy,"during the exam period i studied in the library alone a close friend of mine , who is also a classmate , told me that my application for a japanese inter cultural exchange programme had been accepted i was not very sure as i did not know that the list had been declared i ran to the board and saw that i was really included in the list i was so excited that i smiled all day long when i met my classmates and friends i told them the good news i was so happy that i could not concentrate on my studies"
joy,"i went to buy a bicycle with my father when i wanted to pay , my father took his purse and payed"
joy,i felt happy when my mother gave birth to a son who is the last born in the family
joy,when i was selected to the university of zambia
joy,some time ago i was present at the wedding party of two close friends of mine
joy,"i went shopping with my parents my father payed everything for me , i was very glad"
joy,i found a human treasure that i desired and got immediately i did n't think about anything when i touched him i imploded but i am whole
joy,when i received a beautiful birthday gift form my parents
joy,when i married my wife and took her home for the first time
joy,once a week i work as a volunteer in a biologic garden this work in the garden and the contact with other volunteers filled me with joy they also gave me support after i failed passing my driver 's test
joy,"when i worked as an au pair girl in london , i received a call from a good friend who told me that she was in london too and wanted to see me i was very glad after that call and especially when i saw her"
joy,when my performance \( homework or other work \) is better than others
joy,yesterday my friend gave me a gift and had dinner with me
joy,"when i learned , after the ecography , that my mother was expecting a baby girl that was what i wanted"
joy,day i received my t e score and acceptance into my chosen course
joy,when i succeded in establishing a contact with a girl \( who is now my girlfriend \)
joy,"when i passsed the m s c board exams with first class , which i had not expected"
joy,"when i saw the certificate results , i did not feel very happy as i did not realize that i had got all the credits until my classmates pointed it out to me my parents and my relatives praised me and i realized that my results were good i e 2a , 5b , 2c i felt satisfied with the results and was happy"
joy,"my sister in law was about to have a child , and there were some problems they had to do a caesarean after a while , everything was all right"
joy,helping in the nursery school
joy,"i am a sportwoman as well i felt joy when after an year of practice , at a contest , i covered the norms for a master of sports"
joy,when i heard that i had got the best result in school and would be definately selected to the university of zambia
joy,when i was finally qualified for my profession
joy,"i was happy when at difficult times i could find support in my friend and my fianct , i was happy because of their spiritual and moral help which gave me new power to struggle i was happy then , i felt it in my soul"
joy,my girlfriend who had been very far away from me came to my place she saw me and ran after me i did n't know that she had come i could n't see her she held my shoulders standing behind me
joy,i am joyfull to be alive every night
joy,when i found out i got accepted to berkeley
joy,when i passed my b a exams
joy,"found out that the girl i love loves me , too"
joy,when i was selected to this university despite my having studyied in difficulty throughout my secondary school days
joy,when my children were born
joy,the feeling of joy when again i had confessed my sin and experienced god 's forgiving grace and cleansing power total enlightenment and freedome bliss
joy,"a couple of years ago during the summer holiday , i was fishing at a lake with my husband suddenly it started raining while the sun was still shining i experienced a feeling of joy , happiness and fulfillment the whole nature was full of music"
joy,when i met with friends that i had n't seen for a long time
joy,one night i had a very good conversation with two friends i then realized how worthy they were for me and how happy i was to have them as friends
joy,when my sister after a history of one abortion and one stillbirth gave birth to a perfectly healty boy
joy,"after watching the 49ers lose game after game , year after year , i was finally rewarded with a super bowl victory which made me extremely happy"
joy,when i was selected to start form i at chilumba secondary school out of the 100 pupils i was among the 4 who were successful family history showed that i had done better than all my brothers who had passed after repeating for several times
joy,i'm glad when i have good relations with my colleagues and most of all when we are at a party
joy,receiving understanding from within self of a subject i had previously wished to understand better
joy,when i knew that my husband and i were going to have a child
joy,when i learnt that i had been accepted at the medical school
joy,"boy , you have been admitted to the medicine school and your uncle is coming back fron canada next week , my father told me and it was a happy moment"
joy,when i got a message that i was employed as a nurse at a kindergarten
joy,when i unexpectedly received birthday greetings from a person i like
joy,when i obtained good marks in a subject i had failed before
joy,when i was told that they had got tickets for me for a film marathon i wanted to see
joy,i felt very happy when i heard i had passed the examination to move up to the second year course
joy,when passing the final examinations for social worker
joy,blank
joy,"my friend had organized a birthday party for me secretly , i was very happy not so much for the presents but because they seemed to care for me"
joy,"when my brother was born , everything went all right it had been very likely that he would have a deficiency \( my sister suffers from down 's syndrome \) and that my mother would be in danger"
joy,"this was when the girl i was in love with accepted my proposal and everything went smoothly , just as i had wanted it to it was contrary to my previous feelings of uncertainty about her response"
joy,succeeding in helping others
joy,i had met someone and we became good friends our relationship grew closer and now he is my boyfriend i felt joy when i found out how he felt about me
joy,when i was admitted to the higher institute
joy,"after completing high school , i wanted to go abroad for a holiday i had never been abroad before and neither had i taken a holiday for a long time when finally my parents agreed and we got the airplane tickets i was over joyed"
joy,"after one year of searching , my friend and i have found a flat we are able to pay for"
joy,"i received a wedding invitation from an ex flatmate , enclosed was a small note that overcame a lot of the differences that had arisen between us due to the circumstances in which she left the flat"
joy,at a friend 's birthday party with some of my closest friends it was all very pleasant and one could say that i was happy to have such good friends
joy,i passed an exam which i was not sure at all to pass i rejoyced at the result because the possibility of continuing my studies depended on it
joy,getting a phone call from a very old friend
joy,"when i went to the pub with a large group of friends , we drank and danced"
joy,"on my birthday , my closest friends were here at berkeley pithched in a lot of money each and bought me ten records to replace some of my records that were stolen they threw a small surprise party for me too"
joy,i worked at a lawyer 's office during summer and i got a very good reference from him
joy,when i got to know that i had passed the university entrance exam i thought that i had done one of the exams badly
joy,when i was sick my husband bought me a piece of cake
joy,going to a friend 's wedding and seeing many of my old friends whom i had known before i moved to a new district five years previously
joy,when i was accepted as a student of psychology here at gutttenburg
joy,having a good trip on a boat with good friends
joy,"a sunny autumn day , after a long rainy period"
joy,"i did a solo flight from ardmore to kaikohe before i got my pilot licence i can remember it was gorgeous day and i was on a natural high , cruising up the coast with my maps and compasses and gear other pilots had seen me off and wished me good luck and it was a real adventure"
joy,when i entered university
joy,when we were able to afford a new sofa a leather one which cost sek 20000 i had waited for it for 2 3 years
joy,when i passed and qualified for the university
joy,my admittance to the university
joy,"cycling in the spring sunshine gives me such delight happiness is to be healthy , my wonderful finance simply being here on earth"
joy,"when i received my report card in c o u i was afraid of obtaining low marks , but they were much higher than expected"
joy,success in university entrance examination
joy,the time i first saw my cousin who is living in tanzania
joy,when i made the winning goal during a very important football game
joy,i was very happy when i found out that i had passed with flying colours and that i had made it to the university
joy,at my sister 's wedding
joy,when i passed my final examination at school
joy,"when i started a relation with a girl , with whom i have fallen in love already some time ago"
joy,i passed my mce examination at first i was worried but when i heard my name i had joy in my heart and i arranged for a trip to attend a wedding ceremony
joy,i was very happy when i got the message that i had been accepted as a student in medicine
joy,finished a difficult midterm
joy,when i met an old schhol friend \( school love \)
joy,when i met a good friend after a long time we had had a quarrel but after two weeks i was really glad to see him again
joy,i felt joy when i entered at the university
joy,our only elder sister got married and started having pains in her abdomen and she was told that she could not have children to our suprise she had a baby 2 months back
joy,when i was accepted as a student
joy,when india won the prudential cup by beating west indies in the final match and became the world cricket champion west indies was the strongest of the eight countries which participated in the competition
joy,when i won a trip to greece in a competition
joy,when i heard the examination results and when i recovered after having been sick for a week
joy,when my friend told me that he would come and meet me in a moment
joy,doing well in an examn
joy,receiving a nice present from my parents
joy,found out that me and my best friend are both chosen for the english lectures
joy,finding out that i can go to your english lectures
joy,when i won some coins in a small competion
joy,"on my birthday , when a very close friend sent me a huge bouquet of flowers"
joy,talking to a close friend
joy,when i first passed a job interview
joy,after having considered it for hours i was able to overcome my scruples and to call a friend with whom i had fallen in love i realized that my decision was right and was very glad
joy,an ex colleague asked me if i was interested in working in their accounts bureau they needed clever people and he had immediately thought of me
joy,"when high level results were declared , i found my candidature number i was very happy as i had not expected it as i had been injured before the examination and i had performed poorly"
joy,doing unexpectedly well in an examn
joy,"while having a discussion with a colleague of mine , i realized that her conception of man and work were similar to mine"
joy,"when i began dansing , the teacher came and told me that i was very good and would soon get into the ballet academy"
joy,passing my pharmacy exams which meant my tertiary education for pharmacy completed
joy,when i received some good news:i obtained an amount of money i needed to buy something i had been planning to buy
joy,"in the underground 's escalator , a youngish bum asked me for money although i did not give him anything , the fellow told me that i was really good looking a man who was in front of me also turned to look at me"
joy,"on holiday , seeing the lanscape in gerona"
joy,i watched a football match with my old friend the performance of the team was very good and the team members were full of spirit the match was excellent and every time a goal was scored i felt excited
joy,"when christmas holiday started , i felt very joyful when i finished my last exam"
joy,six months ago when i got acquaintanced with a person whom i trusted infinitely and from whom i expected help and friendly feelings with him i found much in common in our views and in our fate
joy,being together with my best friend
joy,"hearing that i had been successful in getting a position whereby my financial , physical , spiritual and emotional needs will be well catered for this position fulfils a lot of my aims for the last five years of my life"
joy,"receiving a very personal letter from a lady that i like , which revealed that she was more enthusiastic about me than i had thought possible"
joy,when i met my girlfriend i had not counted on that
joy,when i heard that i had passed the second year exams
joy,when we took out an 84 year old woman for the evening and had hamburgers she described the evening out as her happiest night out in 20 years
joy,"i felt happy at the settlement of our marriage , even though we are from different socio linguistic backgrounds our parents agreed to the wedding without any conflict or discussion we had thought that they would object to the wedding but it did not happen"
joy,finding my glasses again after having lost them in town
joy,it was the first time that i gave a birthday present to my friend she wrote me a letter as she is my girlfriend the content of the letter was so sweet that it made me feel very happy
joy,"when i was selected for higher education , i e grade 7 to formi"
joy,"new year 's eve 1983 1984 , i met my girlfriend we stood on the steps outside her parents home and i kissed her for the first time"
joy,today i did a lot better on my architecture project than i expected
joy,the day i was told that i had passed my malawi school leaving exams and i was selected to go to college
joy,a good report card \( a scholarship \) in primary school
joy,"when i meet old past pupils of mine and find they are all doing well i feel joy yesterday i met a young woman \( 20 yrs \) i 'd taught her at 6 yrs , then at 12 yrs and had n't seen her for last 3 4 yrs she was no longer a waitress but a meter maid for council"
joy,when i knew about my first job
joy,my sister had a daughter i saw the baby for the first time through a pane of glass and she looked at me
joy,when my wife gave birth to a baby boy my only son to date
joy,i am a school teacher at a teacher parent meeting i received a good deal of positive feed back on my work both from the parents and through them from the pupils
joy,renewed contact with an earlier friend
joy,discussing psychology with my friends before the lecture
joy,i felt joy when i passed the worst phase in my life and discovered how many people considered me important to them
joy,the computer at school had left out my name along with four others and i had no rights for one year so i was happy to find my name on the medical schhol list
joy,a person whom i had not seen for a long time called me and invited me for a party
joy,it was in 1983 september when mce results were being announced on the radio when i heard my name that i had done well i just kept quiet i was so happy that i could n't even talk
joy,when the parents of my girlfriend gave permission to spend our holiday together
joy,"i had stayed for months without seeing mother because our holidays were short and my home is far some times , mother came to see me at school , i was very joyful , and i did n't want her to go"
joy,i felt joy when i heard over the radio that i had been successful in my primary school leaving certificate examination and was selected for secondary school
joy,after 10 days of hard work and having suffered many changes i passed my last exam
joy,when i got permission to study at a place which was far away from my home
joy,my friend told me he really likes me
joy,when my boyfriend and i experience something nice or when we have made a nice walk together
joy,"begining the week end with my girlfriend:cozyness , beer and wine"
joy,when i first heard i like you ! from my boyfriend
joy,when i got my results i had passed the form iii exams i had not expected to do so well
joy,china winning the asian olympic games
joy,there was joy in me when i heard that i was to take a course as a medical assistant
joy,the day i learnt that i had been admitted to the university
joy,"i had a picnic with old classmates , we chatted and played games"
joy,on my birthday a friend came to see me unexpectedly and brought me flowers i usually do not see her very often
joy,when a friend of me came for an unexpected visit
joy,the joy came to me when i heard that i was going to start a medical course at the lilongwe school for health sciences
joy,the day i was told that i had been accepted as a student of economics
joy,meeting a loved man
joy,when my first child was born
